PID,Naphids,Thujene,Pinene,Camphene,Sabinene,Terpinene.alpha,oCymene,Limonene,Terpinene.gamma,Thujone,Eucaliptol,Terpineol.beta,SabineneHydrate,L.Camphor,Terpineol4,Terpineol,Dihydrocarvone,Copaene,Caryophyllene,Cubebene,Amorphene,GermacreneD,Sesquiphellandrene
P253,2,0.0606,0.0029,0,0.0767,0.0204,0.0329,0.0006,0.0535,0.0002,0.15,0.2095,0.0241,0.0001,0.0117,0.0004,0.0007,0.0017,0,0.0704,0.0032,0.0008,0.0006
P256,2,0.0606,0.0029,0,0.0767,0.0204,0.0329,0.0006,0.0535,0.0002,0.15,0.2095,0.0241,0.0001,0.0117,0.0004,0.0007,0.0017,0,0.0704,0.0032,0.0008,0.0006
P260,2,0.0028,0.003,0.034,0.0447,0.0004,0.0027,0,0.0014,0.0002,0.379,0.0072,0.0098,1.5546,0.0015,0.0002,0.0008,0.0015,0,0.0324,0.0025,0.0005,0
P262,2,0.0028,0.003,0.034,0.0447,0.0004,0.0027,0,0.0014,0.0002,0.379,0.0072,0.0098,1.5546,0.0015,0.0002,0.0008,0.0015,0,0.0324,0.0025,0.0005,0
P264,2,0.0427,0.0055,0,0.0646,0.0185,0,0.0007,0.054,0,0.0528,0.4369,0.072,0,0.0328,0.001,0.0053,0.0095,0,0.1651,0.0063,0.0018,0
P267,2,0.0019,0.0038,0.0296,0.0516,0.0001,0.0077,0,0.0014,0.0001,0.1563,0.0023,0.0058,1.1463,0.004,0.0072,0.0013,0.0026,0,0.0778,0.004,0.002,0
P271,2,0.0013,0.0024,0,0.0505,0.0003,0.0113,0.0001,0.0014,1.1329,0.0052,0.004,0.0044,0,0.0016,0,0.0006,0.0014,0.0007,0.0218,0.0018,0.0009,0.0002
P274,2,0.0033,0,0,0.0162,0.0006,0.0138,0,0.0024,1.3953,0.0452,0.0157,0.0065,0.0001,0.0023,0.0001,0.0007,0.0012,0,0.0393,0.0024,0.0027,0
P277,2,0.0033,0,0,0.0162,0.0006,0.0138,0,0.0024,1.3953,0.0452,0.0157,0.0065,0.0001,0.0023,0.0001,0.0007,0.0012,0,0.0393,0.0024,0.0027,0
P280,2,0.0136,0.003,0.0193,0.0232,0.0076,0.0118,0.0003,0.0185,0,0.1113,0.0824,0.0082,0.7999,0.0025,0.001,0.0004,0.001,0,0.0131,0.0013,0.0011,0.0001
P282,2,0.0092,0.0023,0.0181,0.0402,0.0059,0.009,0.0003,0.0144,0,0.1487,0.0405,0.0061,0.553,0.0024,0.001,0.0036,0.007,0,0.1014,0.0048,0.001,0.0003
P285,2,0.0007,0,0.0001,0.0242,0.0002,0.0063,0,0.0007,0.3963,0.005,0.0007,0.0016,0,0.0009,0,0.0009,0.0036,0,0.0291,0.0022,0.0009,0
P290,2,0.003,0.001,0.0001,0.0158,0.0015,0.0096,0,0.0045,1.4828,0.0607,0.0219,0.0081,0.0004,0.0042,0.0002,0.0014,0.0027,0,0.0609,0.0033,0.0017,0.0045
P293,2,0.003,0.001,0.0001,0.0158,0.0015,0.0096,0,0.0045,1.4828,0.0607,0.0219,0.0081,0.0004,0.0042,0.0002,0.0014,0.0027,0,0.0609,0.0033,0.0017,0.0045
P295,2,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P298,2,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P301,2,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P304,2,0.0032,0.0008,0,0.0184,0.0006,0.0054,0,0.0038,0.9624,0.0067,0.0243,0.0027,0.0003,0.0009,0.0002,0.003,0.0057,0,0.0741,0.0039,0,0.0021
P307,2,0.0048,0.0038,0.0266,0.2515,0.0016,0.0176,0.0001,0.0067,0.0001,0.0348,0.422,0.0169,1.2665,0.0024,0.0013,0.0009,0.0017,0,0.1242,0.0046,0,0.0022
P311,2,0.0167,0.0023,0.0174,0.0664,0.0025,0.0179,0.0002,0.0114,0.0003,0.1342,0.13,0.0127,0.4954,0.004,0.0017,0.003,0.0058,0,0.1438,0.005,0.001,0.0002
P314,2,0.0167,0.0023,0.0174,0.0664,0.0025,0.0179,0.0002,0.0114,0.0003,0.1342,0.13,0.0127,0.4954,0.004,0.0017,0.003,0.0058,0,0.1438,0.005,0.001,0.0002
P319,2,0.0011,0.0013,0.0076,0.0305,0.0001,0.0072,0,0.0013,1.4686,0.005,0.0017,0.0021,0.2336,0.0002,0.0001,0.0022,0.0043,0,0.3242,0.0103,0,0
P322,2,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P325,2,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P328,2,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P331,2,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P333,2,0.0018,0.0071,0.0269,0.1121,0.0002,0.0257,0,0.0075,0.0002,0.6306,0.0117,0.0103,0.9837,0.0037,0.0243,0.0006,0.0014,0,0.0743,0.0035,0.0011,0.0008
P335,2,0.0203,0.0031,0.0225,0.0541,0.0036,0.02,0.0002,0.0127,0,0.2866,0.1403,0.0231,0.6718,0.0059,0.0018,0.0013,0.0026,0,0.0806,0.0052,0.0024,0
P338,2,0.0203,0.0031,0.0225,0.0541,0.0036,0.02,0.0002,0.0127,0,0.2866,0.1403,0.0231,0.6718,0.0059,0.0018,0.0013,0.0026,0,0.0806,0.0052,0.0024,0
P344,2,0.0038,0.0008,0,0.0263,0.0006,0.0088,0.0001,0.0027,0.5372,0.0324,0.029,0.0052,0,0.0024,0.0004,0.0005,0.0009,0.0023,0.0235,0.0016,0.002,0
P348,2,0.0072,0.0012,0,0.0223,0.0018,0.0169,0.0002,0.006,0.947,0.0707,0.0785,0.0175,0,0.0085,0.0008,0.0005,0.0008,0,0.0203,0.0013,0.0007,0.0009
P5,3,0.0023,0.014,0.0306,0.015,0.0001,0.001,0.0001,0.0018,0.0001,0.0457,0.0001,0.002,0.3265,0.0009,0.0027,0.0002,0.0011,0,0.0245,0.0022,0.0004,0
P9,3,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P14,3,0.0232,0.0045,0.0137,0.1186,0.0048,0.0354,0.001,0.0135,0.0001,0.3927,0.0755,0.0145,0.3657,0.0031,0.0024,0.0007,0.0014,0,0.0441,0.0028,0.0008,0
P33,3,0.0017,0.0015,0.0276,0.0474,0.0001,0.0006,0,0.0009,0.0003,0.0854,0.0004,0.0024,1.5537,0.0003,0.001,0.0014,0.0022,0.002,0.0146,0.0016,0,0
P36,3,0.0037,0.0003,0,0.0501,0.001,0.0046,0,0.0028,0.9646,0.0067,0.0069,0.0024,0,0.001,0,0.0007,0.0011,0,0.033,0.0024,0,0.0004
P41,3,0.013,0.0301,0.0003,0.0444,0.0029,0.0154,0.0004,0.0109,0.0012,0.3567,0.0651,0.0166,0,0.0055,0.0046,0.0006,0.001,0.0014,0.0222,0.0014,0.0006,0.0001
